bar_index,price,direction,timeframe,lookback,strength,atr_at_swing,timestamp
384,3144.38,low,fast,3,3,7.16919,2025-03-17T00:00:00
388,3170.99,high,fast,3,3,7.1897,2025-03-17T04:00:00
392,3155.47,low,fast,3,3,6.98543,2025-03-17T08:00:00
395,3178.13,high,fast,3,3,7.53194,2025-03-17T11:00:00
396,3162.29,low,fast,3,3,7.76895,2025-03-17T12:00:00
399,3179.47,high,fast,3,3,7.52553,2025-03-17T15:00:00
407,3158.62,low,fast,3,3,6.62841,2025-03-17T23:00:00
410,3171.18,high,fast,3,3,6.29939,2025-03-18T02:00:00
412,3151.78,low,fast,3,3,6.84601,2025-03-18T04:00:00
428,3231.1,high,fast,3,3,7.06948,2025-03-18T20:00:00
431,3197.08,low,fast,3,3,8.1341,2025-03-18T23:00:00
436,3225.41,high,fast,3,3,7.92363,2025-03-19T04:00:00
438,3204.57,low,fast,3,3,8.28405,2025-03-19T06:00:00
461,3172.79,high,fast,3,3,6.65138,2025-03-20T05:00:00
465,3166.46,low,fast,3,3,5.58186,2025-03-20T09:00:00
467,3179.37,high,fast,3,3,5.61379,2025-03-20T11:00:00
472,3143.95,low,fast,3,3,6.68067,2025-03-20T16:00:00
480,3198.98,high,fast,3,3,7.62166,2025-03-21T00:00:00
487,3158.85,low,fast,3,3,7.86009,2025-03-21T07:00:00
495,3197.75,high,fast,3,3,7.53436,2025-03-21T15:00:00
